Title,Actors,Director
Richard Dreyfuss,Steven Spielberg,Close Encounters of the Third Kind
John Travolta,John Badham,Saturday Night Fever
Burt Reynolds,Hal Needham,Smokey and the Bandit
Siem Vroom,Richard Attenborough,A Bridge Too Far
Jacqueline Bisset,Peter Yates,The Deep
Roger Moore,Lewis Gilbert,The Spy Who Loved Me
John Denver,Carl Reiner,Oh
Woody Allen,Woody Allen,Annie Hall
Helen Reddy,Michael Ritchie,Semi-Tough
Henry Winkler,Don Chaffey,Pete's Dragon
Mel Brooks,Jeremy Kagan,Heroes
Linda Blair,Mel Brooks,High Anxiety
Bob Newhart,John Boorman,Exorcist II: The Heretic
Paul Newman,John Lounsbery,The Rescuers
Dean Jones,George Roy Hill,Slap Shot
Clint Eastwood,Vincent McEveety,Herbie Goes to Monte Carlo
Anne Bancroft,Clint Eastwood,The Gauntlet
Marie-France Pisier,Herbert Ross,The Turning Point
Diane Keaton,Charles Jarrott,The Other Side of Midnight
Jane Fonda,Richard Brooks,Looking for Mr. Goodbar
William Devane,Fred Zinnemann,Julia
Benji,Michael Pressman,The Bad News Bears in Breaking Training
Liza Minnelli,Joe Camp,For the Love of Benji
Robert Shaw,Martin Scorsese,New York
Richard Harris,John Frankenheimer,Black Sunday
Al Pacino,Michael Anderson,Orca
George C. Scott,Sydney Pollack,Bobby Deerfield
Duncan Watson,Franklin J. Schaffner,Islands in the Stream
Gene Hackman,Bill Melendez,Race for Your Life
Ann-Margret,Dick Richards,March or Die
Paul Le Mat,Tony Richardson,Joseph Andrews
Angela Aber,Jonathan Demme,Citizens Band
Marlon Brando,Thomas J. Tobin,Fraternity Row
Roy Scheider,Randal Kleiser,Grease
Tom Hulce,Richard Donner,Superman
Warren Beatty,Jeannot Szwarc,Jaws 2
Peter Sellers,John Landis,National Lampoon's Animal House
Robert De Niro,James Fargo,Every Which Way but Loose
Donald Pleasence,Warren Beatty,Heaven Can Wait
Goldie Hawn,Blake Edwards,Hooper
Cheech Marin,Michael Cimino,Revenge of the Pink Panther
Brad Davis,John Carpenter,The Deer Hunter
Christopher Guard,Colin Higgins,Halloween
Walter Matthau,Burt Reynolds,Foul Play
William Holden,Lou Adler,The End
Donald Sutherland,Alan Parker,Up in Smoke
Kris Kristofferson,Hal Ashby,Midnight Express
Diana Ross,Ralph Bakshi,Coming Home
Sylvester Stallone,Howard Zieff,The Lord of the Rings
Peter Frampton,Don Taylor,House Calls
Faye Dunaway,Philip Kaufman,Omen II: Damien
