Title,Worldwide,Year,Country,Actores,Directores,Production,Rated,Runtime,imdbRating,Genre,Ex_NoEx
Close Encounters of the Third Kind,288095460,1977,USA,Otro,Steven Spielberg,Sony Pictures Releasing,PG,138,7.6,Drama,1
Saturday Night Fever,237113184,1977,USA,John Travolta,John Badham,Paramount Pictures,R,118,6.8,Drama,1
Smokey and the Bandit,126737428,1977,USA,Otro,Otro,Universal Pictures,PG,96,7,Action,1
A Bridge Too Far,50750000,1977,USA,Otro,Otro,United Artists,PG,175,7.4,Drama,1
The Deep,47346365,1977,UK,Otro,Peter Yates,Sony Pictures Home Entertainment,PG,123,6.2,Adventure,1
The Spy Who Loved Me,46838673,1977,UK,Otro,Otro,United Artists,PG,125,7.1,Action,1
"Oh, God!",41687243,1977,USA,Otro,Carl Reiner,Warner Home Video,PG,98,6.6,Comedy,1
Annie Hall,38251425,1977,USA,Otro,Woody Allen,United Artists,PG,93,8,Comedy,1
Semi-Tough,37187139,1977,USA,Otro,Michael Ritchie,MGM,R,108,5.9,Comedy,0
Pete's Dragon,35488000,1977,USA,Otro,Otro,Buena Vista Pictures,G,128,6.4,Animation,1
Heroes,33500000,1977,USA,Otro,Otro,MCA Universal Home Video,PG,112,6,Comedy,0
High Anxiety,31063038,1977,USA,Otro,Otro,Fox,PG,94,6.7,Comedy,1
Exorcist II: The Heretic,30749142,1977,USA,Otro,Otro,WARNER BROTHERS PICTURES,R,117,3.8,Horror,0
The Rescuers,29000000,1977,USA,Otro,Otro,Walt Disney Pictures,G,78,6.9,Animation,1
Slap Shot,28000000,1977,USA,Otro,Otro,MCA Universal Home Video,R,123,7.3,Comedy,1
Herbie Goes to Monte Carlo,28000000,1977,USA,Otro,Otro,Walt Disney Productions,G,105,5.6,Action,0
The Gauntlet,26414658,1977,USA,Otro,Clint Eastwood,Warner Home Video,R,109,6.4,Action,1
The Turning Point,25933445,1977,USA,Otro,Herbert Ross,Paramount Pictures,PG,119,6.9,Drama,1
The Other Side of Midnight,24652021,1977,USA,Otro,Otro,Twentieth Century Fox Home Entertainment,R,165,6.2,Drama,1
Looking for Mr. Goodbar,22512655,1977,USA,Diane Keaton,Otro,Paramount Pictures,R,136,6.7,Drama,1
Julia,20714400,1977,USA,Otro,Otro,20th Century Fox Film Corporation,PG,117,7.2,Drama,1
The Bad News Bears in Breaking Training,19104350,1977,USA,Otro,Otro,Paramount Pictures,PG,100,5.5,Comedy,0
For the Love of Benji,17732000,1977,USA,Otro,Otro,E1 Entertainment,G,85,6,Adventure,0
"New York, New York",16400000,1977,USA,Otro,Martin Scorsese,MGM Home Entertainment,PG,155,6.7,Drama,1
Black Sunday,15769322,1977,USA,Otro,John Frankenheimer,Anchor Bay Entertainment,R,143,6.8,Adventure,1
Orca,14717854,1977,Italy,Otro,Otro,Paramount Pictures,PG,92,5.8,Adventure,0
Bobby Deerfield,9300000,1977,USA,Otro,Sydney Pollack,Columbia Pictures,PG,124,5.9,Drama,0
Islands in the Stream,5596173,1977,USA,Otro,Otro,Paramount Pictures,PG,104,6.5,Drama,1
"Race for Your Life, Charlie Brown",3223888,1977,USA,Otro,Otro,Paramount Pictures,G,76,7.4,Animation,1
March or Die,1000000,1977,UK,Gene Hackman,Otro,Columbia Pictures,PG,107,6.3,Adventure,1
Joseph Andrews,839865,1977,UK,Otro,Otro,Paramount Pictures,R,99,5.7,Adventure,0
Citizens Band,815530,1977,USA,Otro,Jonathan Demme,Paramount Pictures,PG,98,6.4,Comedy,1
Fraternity Row,290674,1977,USA,Otro,Otro,Paramount Pictures,PG,100,6.3,Drama,1
Grease,366178870,1978,USA,John Travolta,Randal Kleiser,Paramount Pictures,PG-13,110,7.2,Musical,1
Superman,300218018,1978,USA,Otro,Richard Donner,Warner Bros. Pictures,PG,143,7.3,Action,1
Jaws 2,183855272,1978,USA,Otro,Otro,MCA Universal Home Video,PG,116,5.8,Adventure,0
National Lampoon's Animal House,120091123,1978,USA,Otro,John Landis,Universal Pictures,R,109,7.5,Comedy,1
Every Which Way but Loose,85196485,1978,USA,Otro,Otro,Warner Bros. Pictures,PG,114,6.4,Action,1
Heaven Can Wait,81640278,1978,USA,Otro,Otro,Paramount Home Video,PG,101,6.9,Comedy,1
Hooper,78000000,1978,USA,Otro,Otro,Warner Home Video,PG,99,6.3,Action,1
Revenge of the Pink Panther,49579269,1978,UK,Otro,Blake Edwards,MGM,PG,99,6.7,Comedy,1
The Deer Hunter,48991826,1978,USA,Robert De Niro,Otro,Universal Pictures,R,183,8.1,Drama,1
Halloween,47000000,1978,USA,Otro,John Carpenter,Compass International Pictures,R,91,7.8,Horror,1
Foul Play,44999621,1978,USA,Otro,Otro,Paramount Home Video,PG,116,6.8,Comedy,1
The End,44917151,1978,USA,Otro,Otro,United Artists,R,100,6.2,Comedy,1
Midnight Express,35000000,1978,UK,Otro,Alan Parker,Sony Pictures Home Entertainment,R,121,7.6,Biography,1
Coming Home,32653905,1978,USA,Otro,Otro,MGM Home Entertainment,R,127,7.3,Drama,1
The Lord of the Rings,30471420,1978,USA,Otro,Otro,WARNER BROTHERS PICTURES,PG,132,6.2,Animation,1
House Calls,28460702,1978,USA,Otro,Otro,Universal,PG,98,6.8,Comedy,1
Omen II: Damien,26518355,1978,UK,Otro,Otro,20th Century Fox,R,107,6.3,Horror,1
Invasion of the Body Snatchers,24946533,1978,USA,Otro,Otro,MGM Home Entertainment,PG,115,7.4,Horror,1
Convoy,22765081,1978,USA,Otro,Otro,Lionsgate,PG,110,6.4,Action,1
The Wiz,21049053,1978,USA,Otro,Sidney Lumet,Universal Pictures,G,134,5.4,Adventure,0
F.I.S.T.,20388920,1978,USA,Sylvester Stallone,Norman Jewison,MGM Home Entertainment,PG,145,6.4,Crime,1
Sgt. Pepper's Lonely Hearts Club Band,20378470,1978,USA,Otro,Otro,Universal Pictures,PG,113,4.1,Adventure,0
Eyes of Laura Mars,20000000,1978,USA,Otro,Otro,Columbia Pictures Corporation,R,104,6.2,Mystery,1
The One and Only,16928137,1978,USA,Otro,Carl Reiner,Paramount Pictures,PG,97,5.8,Comedy,0
Return from Witch Mountain,16393000,1978,USA,Otro,Otro,Buena Vista Distribution Company,G,95,5.8,Family,0
Corvette Summer,15514367,1978,USA,Otro,Otro,WARNER BROTHERS PICTURES,PG,105,5.7,Adventure,0
The Greek Tycoon,14672713,1978,USA,Otro,J. Lee Thompson,Universal,R,107,5.2,Drama,0
Death on the Nile,14560084,1978,UK,Otro,Otro,EMI Films Ltd.,PG,140,7.3,Crime,1
The Buddy Holly Story,14363400,1978,USA,Otro,Otro,Columbia Pictures,PG,114,7.2,Biography,1
The Big Fix,13062708,1978,USA,Otro,Otro,Universal,PG,108,6.4,Comedy,1
The Other Side of the Mountain: Part II,11565678,1978,USA,Otro,Otro,Universal Pictures,PG,100,6,Biography,0
Moment by Moment,10963824,1978,USA,Otro,Otro,Universal,R,102,2.9,Drama,0
Interiors,10432366,1978,USA,Otro,Woody Allen,MGM Home Entertainment,PG,92,7.4,Drama,1
Straight Time,9900000,1978,USA,Otro,Otro,Warner Bros. Pictures,R,114,7.4,Crime,1
